architecture,model,dataset,chunk_size_kb,burst_length_s,result_ms,chunk_size_tokens,burst_enabled,burst_interval_s,chunks_produced,chunks_processed,chunks_persisted,total_duration_ms,throughput_chunks_per_s,throughput_tokens_per_s,success_rate,status,error_message
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,0.5,,553.9122247695923,128,False,,100,100,100,55391.22247695923,1.8053401879981332,285.2437497037051,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,0.5,1,652.8827566089052,128,True,2,33,33,33,21545.130968093872,1.531668572768001,213.7373871998983,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,0.5,5,553.2550549507141,128,True,2,100,100,100,55325.50549507141,1.8074846150101302,285.5825691716006,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,0.5,10,540.5151152610779,128,True,2,100,100,100,54051.51152610779,1.8500870221121997,292.3137494937276,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,0.5,15,535.3638291358948,128,True,2,100,100,100,53536.38291358948,1.8678886125236596,295.1264007787382,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,0.5,30,533.1472277641296,128,True,2,100,100,100,53314.722776412964,1.875654505780177,296.35341191326796,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,0.5,45,538.2102227210999,128,True,2,100,100,100,53821.022272109985,1.8580100447445407,293.56558706963744,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,0.5,60,538.0348610877991,128,True,2,100,100,100,53803.48610877991,1.8586156257202362,293.6612688637973,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,1.0,,533.715546131134,256,False,,100,100,100,53371.5546131134,1.873657245416456,541.2058953385433,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,1.0,1,663.0752086639404,256,True,2,34,34,34,22544.557094573975,1.5081245489707633,408.4356131447879,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,1.0,5,543.2494354248047,256,True,2,100,100,100,54324.94354248047,1.8407750377467584,531.7078696531512,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,1.0,10,540.6803846359253,256,True,2,100,100,100,54068.03846359253,1.849521507375127,534.2342874053054,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,1.0,15,533.4130001068115,256,True,2,100,100,100,53341.30001068115,1.8747199633300244,541.5128614078775,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,1.0,30,540.4630255699158,256,True,2,100,100,100,54046.30255699158,1.850265333036436,534.4491414475746,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,1.0,45,533.2044172286987,256,True,2,100,100,100,53320.44172286987,1.8754533302583016,541.7246944451105,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,1.0,60,538.1656837463379,256,True,2,100,100,100,53816.56837463379,1.85816381497737,536.7306179562133,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,2.0,,536.1065602302551,512,False,,100,100,100,53610.65602302551,1.865300808052983,872.2333108536553,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,2.0,1,568.985062130427,512,True,2,59,59,59,33570.11866569519,1.7575153840695603,850.7565994750279,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,2.0,5,533.3252286911011,512,True,2,100,100,100,53332.52286911011,1.875028493315838,876.7820737594191,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,2.0,10,540.5821299552917,512,True,2,100,100,100,54058.212995529175,1.8498576711788528,865.0119456199434,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,2.0,15,535.6232857704163,512,True,2,100,100,100,53562.328577041626,1.8669838047866893,873.0202969563038,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,2.0,30,533.2635140419006,512,True,2,100,100,100,53326.35140419006,1.8752454905839029,876.8835438519388,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,2.0,45,540.6602358818054,512,True,2,100,100,100,54066.02358818054,1.8495904333874695,864.8869825563146,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,2.0,60,535.6093668937683,512,True,2,100,100,100,53560.93668937683,1.867032322080988,873.0429841282908,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,5.0,,533.9364719390869,1280,False,,100,100,100,53393.64719390869,1.87288198606909,1160.924627884786,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,5.0,1,588.8053325184604,1280,True,2,57,57,57,33561.903953552246,1.6983541839248673,1175.0823211513843,1.0,success,
