architecture,model,dataset,chunk_size_kb,burst_length_s,result_ms,chunk_size_tokens,burst_enabled,burst_interval_s,chunks_produced,chunks_processed,chunks_persisted,total_duration_ms,throughput_chunks_per_s,throughput_tokens_per_s,success_rate,status,error_message
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,0.5,,529.0787053108215,128,False,,100,100,100,52907.87053108215,1.8900779599748265,298.6323176760226,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,0.5,1,621.9920700994031,128,True,2,29,29,29,18037.77003288269,1.6077375389049346,231.68052327874904,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,0.5,5,538.3203029632568,128,True,2,100,100,100,53832.03029632568,1.857630103296058,293.50555632077715,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,0.5,10,533.3488702774048,128,True,2,100,100,100,53334.88702774048,1.87494537952219,296.241369964506,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,0.5,15,538.2843160629272,128,True,2,100,100,100,53828.431606292725,1.8577542948197225,293.5251785815162,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,0.5,30,538.2187557220459,128,True,2,100,100,100,53821.87557220459,1.8579805875743827,293.56093283675244,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,0.5,45,533.3003973960876,128,True,2,100,100,100,53330.039739608765,1.8751157975554438,296.2682960137601,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,0.5,60,538.0719494819641,128,True,2,100,100,100,53807.19494819641,1.8584875144722992,293.6410272866233,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,1.0,,535.9293460845947,256,False,,100,100,100,53592.93460845947,1.8659176014633714,538.9702991826948,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,1.0,1,578.5926498215774,256,True,2,58,58,58,33558.37368965149,1.7283316687627701,519.4232641069628,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,1.0,5,535.3997015953064,256,True,2,100,100,100,53539.97015953064,1.8677634616163308,539.5034758878771,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,1.0,10,535.4995512962341,256,True,2,100,100,100,53549.95512962341,1.8674151968557073,539.402879611771,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,1.0,15,538.1809639930725,256,True,2,100,100,100,53818.09639930725,1.858111057255589,536.7153788882769,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,1.0,30,535.4058837890625,256,True,2,100,100,100,53540.58837890625,1.8677418950329967,539.4972463802811,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,1.0,45,535.4641008377075,256,True,2,100,100,100,53546.41008377075,1.8675388292801491,539.438590837571,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,1.0,60,536.515462398529,256,True,2,100,100,100,53651.546239852905,1.8638791797899572,538.3815010823291,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,2.0,,541.217668056488,512,False,,100,100,100,54121.766805648804,1.8476854305052508,863.9961841585603,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,2.0,1,570.1058691945569,512,True,2,58,58,58,33066.1404132843,1.7540601737933266,860.9713635814174,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,2.0,5,536.6291236877441,512,True,2,100,100,100,53662.912368774414,1.863484398923313,871.3839397805303,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,2.0,10,538.7580990791321,512,True,2,100,100,100,53875.80990791321,1.8561205886449632,867.9405484562712,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,2.0,15,535.5656218528748,512,True,2,100,100,100,53556.562185287476,1.8671848214236388,873.1142943459078,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,2.0,30,535.6665015220642,512,True,2,100,100,100,53566.65015220642,1.8668331828825586,872.9498646477132,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,2.0,45,535.5910086631775,512,True,2,100,100,100,53559.10086631775,1.8670963175725754,873.072909060112,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,2.0,60,538.2045388221741,512,True,2,100,100,100,53820.45388221741,1.858029666915176,868.8332525462055,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,5.0,,536.3248443603516,1280,False,,100,100,100,53632.484436035156,1.8645416309077592,1155.7547753344836,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,5.0,1,578.6721459750471,1280,True,2,58,58,58,33562.984466552734,1.7280942360117,1214.9694268290534,1.0,success,
